Jenkins Build Number	Install ID	Log Path	Status	Failing Step	Name
	20200115145151	/Users/catherine/galaxy_tool_automation/webhook_tool_installation_20200115145151	Tests failed	Staging tests	compute_motif_frequencies_for_all_motifs
	20200116110133	/Users/catherine/galaxy_tool_automation/webhook_tool_installation_20200116110133	Errored	Staging Installation	ncbi_blast_plus
	20200116111718	/Users/catherine/galaxy_tool_automation/webhook_tool_installation_20200116111718	Errored	Staging Installation	ncbi_blast_plus
	20200116113251	/Users/catherine/galaxy_tool_automation/webhook_tool_installation_20200116113251	Errored	Staging Installation	ncbi_blast_plus
	20200116113357	/Users/catherine/galaxy_tool_automation/webhook_tool_installation_20200116113357	Errored	Staging Installation	ncbi_blast_plus
	20200116114159	/webhook_tool_installation_20200116114159	Errored	Staging Installation	ncbi_blast_plus
	20200116115923	/webhook_tool_installation_20200116115923	Errored	Staging Installation	ncbi_blast_plus
	20200116120304	/webhook_tool_installation_20200116120304	Errored	Staging Installation	ncbi_blast_plus
	20200116120304	/webhook_tool_installation_20200116120304	Errored	Staging Installation	ncbi_blast_plus
	20200116120304	/webhook_tool_installation_20200116120304	Errored	Staging Installation	ncbi_blast_plus
	20200116120720	/webhook_tool_installation_20200116120720	Errored	Staging Installation	ncbi_blast_plus
	20200116121235	/webhook_tool_installation_20200116121235	Errored	Staging Installation	ncbi_blast_plus
	20200116121235	/webhook_tool_installation_20200116121235	Skipped	Staging Installation	velvetoptimiser
	20200116121235	/webhook_tool_installation_20200116121235	Skipped	Staging Installation	velvetoptimiser
	20200116121609	/webhook_tool_installation_20200116121609	Errored	Staging Installation	ncbi_blast_plus
	20200116121609	/webhook_tool_installation_20200116121609	Skipped	Staging Installation	velvetoptimiser
	20200116121609	/webhook_tool_installation_20200116121609	Skipped	Staging Installation	velvetoptimiser
	20200116122820	/webhook_tool_installation_20200116122820	Errored	Staging Installation	ncbi_blast_plus
	20200116122820	/webhook_tool_installation_20200116122820	Skipped	Staging Installation	velvetoptimiser
	20200116122820	/webhook_tool_installation_20200116122820	Skipped	Staging Installation	velvetoptimiser
	20200116161602	/webhook_tool_installation_20200116161602	Errored	Staging Installation	ncbi_blast_plus
	20200116161602	/webhook_tool_installation_20200116161602	Skipped	Production Installation	velvetoptimiser
	20200117093440	/webhook_tool_installation_20200117093440	Errored	Staging Installation	ncbi_blast_plus
	20200117093440	/webhook_tool_installation_20200117093440	Skipped	Staging Installation	velvetoptimiser
	20200117093440	/webhook_tool_installation_20200117093440	Skipped	Staging Installation	velvetoptimiser
	20200117093812	/webhook_tool_installation_20200117093812	Errored	Staging Installation	ncbi_blast_plus
	20200117093812	/webhook_tool_installation_20200117093812	Tests failed	Staging tests	velvetoptimiser
	20200117093812	/webhook_tool_installation_20200117093812	Tests failed	Staging tests	velvetoptimiser
	20200117094657	/webhook_tool_installation_20200117094657	Errored	Staging Installation	ncbi_blast_plus
	20200117094657	/webhook_tool_installation_20200117094657	Tests failed	Staging tests	velvetoptimiser
	20200117094808	/webhook_tool_installation_20200117094808	Skipped	Staging Installation	ncbi_blast_plus
	20200117094808	/webhook_tool_installation_20200117094808	Skipped	Staging Installation	velvetoptimiser
	20200117094808	/webhook_tool_installation_20200117094808	Skipped	Staging Installation	velvetoptimiser
	20200117095357	/webhook_tool_installation_20200117095357	Skipped	Staging Installation	ncbi_blast_plus
	20200117095357	/webhook_tool_installation_20200117095357	Skipped	Staging Installation	velvetoptimiser
	20200117095357	/webhook_tool_installation_20200117095357	Skipped	Staging Installation	velvetoptimiser
	20200117095445	/webhook_tool_installation_20200117095445	Skipped	Staging Installation	ncbi_blast_plus
	20200117095445	/webhook_tool_installation_20200117095445	Skipped	Staging Installation	velvetoptimiser
	20200117095445	/webhook_tool_installation_20200117095445	Skipped	Staging Installation	velvetoptimiser
202001171044072020011710440720200117104407
20200117105544 /webhook_tool_installation_20200117105544 Skipped Staging Installation ncbi_blast_plus 20200117105544 /webhook_tool_installation_20200117105544 Skipped Staging Installation velvetoptimiser 20200117105544 /webhook_tool_installation_20200117105544 Skipped Staging Installation velvetoptimiser
20200117105818 /webhook_tool_installation_20200117105818 Skipped Staging Installation ncbi_blast_plus 20200117105818 /webhook_tool_installation_20200117105818 Skipped Staging Installation velvetoptimiser 20200117105818 /webhook_tool_installation_20200117105818 Skipped Staging Installation velvetoptimiser
20200117110602 /webhook_tool_installation_20200117110602 Skipped Staging Installation ncbi_blast_plus 20200117110602 /webhook_tool_installation_20200117110602 Skipped Staging Installation velvetoptimiser 20200117110602 /webhook_tool_installation_20200117110602 Skipped Staging Installation velvetoptimiser
	20200117112235	/webhook_tool_installation_20200117112235	Skipped	Staging Installation	ncbi_blast_plus
	20200117112235	/webhook_tool_installation_20200117112235	Skipped	Staging Installation	velvetoptimiser
	20200117112235	/webhook_tool_installation_20200117112235	Skipped	Staging Installation	velvetoptimiser

	20200117112316	/webhook_tool_installation_20200117112316	Skipped	Staging Installation	ncbi_blast_plus
	20200117112316	/webhook_tool_installation_20200117112316	Skipped	Staging Installation	velvetoptimiser
	20200117112316	/webhook_tool_installation_20200117112316	Skipped	Staging Installation	velvetoptimiser

	20200117113013	/webhook_tool_installation_20200117113013	Skipped	Staging	20200117115228	/webhook_tool_installation_20200117115228	Skipped	Staging Installation	ncbi_blast_plus	20200117115228	/webhook_tool_installation_20200117115228	Skipped	Staging Installation	velvetoptimiser	20200117115228	/webhook_tool_installation_20200117115228	Skipped	Staging Installation	velvetoptimiser
	20200117115612	/webhook_tool_installation_20200117115612	Skipped	Staging Installation	ncbi_blast_plus	20200117115612	/webhook_tool_installation_20200117115612	Skipped	Staging Installation	velvetoptimiser	20200117115612	/webhook_tool_installation_20200117115612	Skipped	Staging Installation	velvetoptimiser
	20200117115706	/webhook_tool_installation_20200117115706	Skipped	Staging Installation	ncbi_blast_plus
	20200117115706	/webhook_tool_installation_20200117115706	Skipped	Staging Installation	velvetoptimiser
	20200117115706	/webhook_tool_installation_20200117115706	Skipped	Staging Installation	velvetoptimiser
	20200117120325	/webhook_tool_installation_20200117120325	Skipped	Staging Installation	ncbi_blast_plus
	20200117120325	/webhook_tool_installation_20200117120325	Skipped	Staging Installation	velvetoptimiser
	20200117120325	/webhook_tool_installation_20200117120325	Skipped	Staging Installation	velvetoptimiser
	20200117121327	/webhook_tool_installation_20200117121327	Skipped	Staging Installation	ncbi_blast_plus
	20200117121327	/webhook_tool_installation_20200117121327	Skipped	Staging Installation	velvetoptimiser
	20200117121327	/webhook_tool_installation_20200117121327	Skipped	Staging Installation	velvetoptimiser
	20200117121357	/webhook_tool_installation_20200117121357	Skipped	Staging Installation	ncbi_blast_plus
	20200117121357	/webhook_tool_installation_20200117121357	Skipped	Staging Installation	velvetoptimiser
	20200117121357	/webhook_tool_installation_20200117121357	Skipped	Staging Installation	velvetoptimiser
	20200117121739	/webhook_tool_installation_20200117121739	Skipped	Staging Installation	ncbi_blast_plus
	20200117121739	/webhook_tool_installation_20200117121739	Skipped	Staging Installation	velvetoptimiser
	20200117121739	/webhook_tool_installation_20200117121739	Skipped	Staging Installation	velvetoptimiser
	20200117122016	/webhook_tool_installation_20200117122016	Skipped	Staging Installation	ncbi_blast_plus
	20200117122016	/webhook_tool_installation_20200117122016	Skipped	Staging Installation	velvetoptimiser
	20200117122016	/webhook_tool_installation_20200117122016	Skipped	Staging Installation	velvetoptimiser
	20200117122145	/webhook_tool_installation_20200117122145	Skipped	Staging Installation	ncbi_blast_plus
	20200117122145	/webhook_tool_installation_20200117122145	Skipped	Staging Installation	velvetoptimiser
	20200117122145	/webhook_tool_installation_20200117122145	Skipped	Staging Installation	velvetoptimiser
	20200117122308	/webhook_tool_installation_20200117122308	Errored	Staging Installation	ncbi_blast_plus
	20200117122308	/webhook_tool_installation_20200117122308	Skipped	Production Installation	velvetoptimiser
	20200117122308	/webhook_tool_installation_20200117122308	Skipped	Production Installation	velvetoptimiser
	20200117125147	/webhook_tool_installation_20200117125147	Errored	Staging Installation	ncbi_blast_plus
	20200117125147	/webhook_tool_installation_20200117125147	Tests failed on PRODUCTION	Production Testing	velvetoptimiser
	20200117125147	/webhook_tool_installation_20200117125147	Tests failed on PRODUCTION	Production Testing	velvetoptimiser
	20200117134753	/webhook_tool_installation_20200117134753	Errored	Staging Installation	ncbi_blast_plus
	20200117134753	/webhook_tool_installation_20200117134753	Tests failed	Staging Testing	velvetoptimiser
	20200117134753	/webhook_tool_installation_20200117134753	Tests failed	Staging Testing	velvetoptimiser
